Date,KOSPI_Open,KOSPI_Close,Signal,Intraday_Return,Strategy_Return,Buy_Hold_Equity,Strategy_Equity,Year
2021-03-23,2894.0209797802017,2804.3115297687204,0.0,-0.03099820306703327,-0.0,9690017.969329668,10000000.0,2021
2021-03-24,2795.7127766237545,2842.0217298598254,0.0,0.01656427427856011,0.0,9850526.084737819,10000000.0,2021
2021-03-25,2834.53792442458,2854.624996525333,1.0,0.007086542017189723,0.007086542017189723,9920332.251728738,10070865.420171898,2021
2021-03-26,2868.3802853400757,2878.5163117071984,1.0,0.003533710791043587,0.003533710791043587,9955387.836857408,10106452.945982307,2021
2021-03-29,2887.5176220551925,2849.130884887907,1.0,-0.013294026978080797,-0.013294026978080797,9823040.642376969,9972097.487865714,2021
2021-03-30,2847.972475413595,2804.83936196452,0.0,-0.015145200250859525,-0.0,9674268.724775838,9972097.487865714,2021
2021-03-31,2805.1469939218355,2823.363083663774,0.0,0.0064938093374105055,0.0,9737091.581353405,9972097.487865714,2021
2021-04-01,2816.44688627256,2875.331426943527,1.0,0.020907385457177297,0.020907385457177297,9940668.708276596,10180587.973861072,2021
2021-04-02,2883.008796116003,2901.5029600817566,1.0,0.006414882948213352,0.006414882948213352,10004436.934467157,10245895.25405738,2021
2021-04-05,2898.196101280182,2952.142540558512,1.0,0.018613798857330943,0.018613798857330943,10190657.511246182,10436610.287429687,2021
2021-04-06,2949.8391915107327,3049.737113896748,1.0,0.033865548560582104,0.033865548560582104,10535769.71805755,10790051.819926508,2021
2021-04-07,3055.3070601791283,3064.721366341382,1.0,0.003081296241858489,0.003081296241858489,10568233.545694888,10823299.166048706,2021
2021-04-08,3062.9929100308586,3045.51648676928,1.0,-0.005705668858829505,-0.005705668858829505,10507934.704660378,10761545.005047185,2021
2021-04-09,3043.3697083481966,3027.4345470202793,0.0,-0.005236025476696438,-0.0,10452914.890839314,10761545.005047185,2021
2021-04-12,3027.530594247961,3021.3100400048506,0.0,-0.0020546627191575517,-0.0,10431437.67630658,10761545.005047185,2021
2021-04-13,3028.5190858960464,3027.9117654357265,0.0,-0.00020053380648921149,-0.0,10429345.820402194,10761545.005047185,2021
2021-04-14,3042.868072700624,3016.4146072202734,1.0,-0.008693595926054232,-0.008693595926054232,10338677.302066535,10667988.48123326,2021
2021-04-15,3021.712814890094,3009.7592606656494,0.0,-0.003955886927950569,-0.0,10297778.66367499,10667988.48123326,2021
2021-04-16,3017.012607936982,2979.97485729547,0.0,-0.012276299589890738,-0.0,10171360.04768933,10667988.48123326,2021
2021-04-19,2978.1881770549007,2994.0801717826757,0.0,0.005336128472409163,0.0,10225635.73164293,10667988.48123326,2021
2021-04-20,2987.7225611394447,3015.11507321772,1.0,0.009168358680475386,0.009168358680475386,10319388.027766518,10765796.426028388,2021
2021-04-21,3021.030604457186,3031.5034406083028,1.0,0.0034666435141919028,0.0034666435141919028,10355161.667343404,10803117.604383787,2021
2021-04-22,3033.06079205515,3031.657541460928,1.0,-0.0004626516546908377,-0.0004626516546908377,10350370.834663415,10798119.5241483,2021
2021-04-23,3018.718772845886,3035.3070578231313,0.0,0.005495140894362427,0.0,10407247.580708792,10798119.5241483,2021
2021-04-26,3032.319681692808,3139.8831456951734,1.0,0.03547233645969605,0.03547233645969605,10776416.96851105,11181154.053040901,2021
2021-04-27,3139.102284794599,3131.7459700785867,1.0,-0.002343445370240227,-0.002343445370240227,10751163.024058416,11154951.629341358,2021
2021-04-29,3126.9500969747023,3176.741358288314,0.0,0.015923267007613706,0.0,10922356.663532881,11154951.629341358,2021
2021-04-30,3190.862630524004,3148.3501004801324,1.0,-0.013323209102514832,-0.013323209102514832,10776835.821812388,11006331.876255205,2021
2021-05-03,3152.8822043202686,3137.5407727660477,0.0,-0.004865843555207694,-0.0,10724397.42468329,11006331.876255205,2021
2021-05-04,3150.465949645093,3173.5569184977658,0.0,0.00732938213640244,0.0,10803000.631591445,11006331.876255205,2021
2021-05-05,3176.0649036826358,3198.7310962039905,1.0,0.007136564651142097,0.007136564651142097,10880096.944025125,11084879.275262024,2021
2021-05-06,3199.5121096136672,3191.123331942239,1.0,-0.0026218927711578743,-0.0026218927711578743,10851570.496498091,11055815.910421059,2021
2021-05-07,3182.1569344969726,3181.5407760183425,0.0,-0.00019362919281273872,-0.0,10849469.315662103,11055815.910421059,2021
2021-05-10,3181.6546389072537,3195.6012336313374,0.0,0.0043834407900644745,0.0,10897027.32201093,11055815.910421059,2021
2021-05-11,3195.726379054314,3191.7747678318965,1.0,-0.0012365299007816022,-0.0012365299007816022,10883552.821897632,11042145.063470285,2021
2021-05-12,3178.684209032457,3207.6116291384305,0.0,0.009100438484506812,0.0,10982597.924846191,11042145.063470285,2021
2021-05-13,3202.419845379605,3237.346451203283,1.0,0.010906316944691019,0.010906316944691019,11102377.618690671,11162574.197281748,2021
2021-05-14,3234.206717884155,3238.553027022408,1.0,0.0013438563200736109,0.0013438563200736109,11117297.619021391,11177575.093165055,2021
2021-05-17,3242.5702533094486,3243.530673169117,1.0,0.00029619091789556684,0.00029619091789556684,11120590.461607687,11180885.789391745,2021
2021-05-18,3248.019882887004,3233.2594869252525,1.0,-0.004544429065696298,-0.004544429065696298,11070053.727086252,11130075.047030203,2021
2021-05-19,3227.6208264350357,3241.5683179814846,0.0,0.004321291842032782,0.0,11117890.659947973,11130075.047030203,2021
2021-05-20,3246.1279365280775,3224.178242658905,0.0,-0.0067618080058325924,-0.0,11042713.617875567,11130075.047030203,2021
2021-05-21,3222.417077891549,3228.237291481331,0.0,0.001806163959877649,0.0,11062658.569231423,11130075.047030203,2021
2021-05-24,3200.445848351476,3166.5240376161746,1.0,-0.010599089109029625,-0.010599089109029625,10945404.46527337,11012106.389816543,2021
2021-05-25,3161.9195757104067,3157.4135235193976,0.0,-0.001425100190917017,-0.0,10929806.167280246,11012106.389816543,2021
2021-05-26,3167.633963491726,3181.6921518022223,0.0,0.004438072224418166,0.0,10978313.436449526,11012106.389816543,2021
2021-05-27,3165.639187272068,3206.556078381996,1.0,0.012925317349633758,0.012925317349633758,11120211.621579383,11154441.359592851,2021
2021-05-28,3207.640130343014,3196.081653938717,1.0,-0.0036034205629734695,-0.0036034205629734695,11080140.822357567,11114247.216229212,2021
2021-05-31,3211.2815267887913,3194.7980350939906,0.0,-0.005132994898545684,-0.0,11023266.516041236,11114247.216229212,2021
2021-06-02,3187.508020790756,3194.5605705298376,0.0,0.002212559056504748,0.0,11047656.14420357,11114247.216229212,2021
2021-06-03,3194.581166632629,3215.876730393971,1.0,0.006666152040140316,0.006666152040140316,11121301.499748021,11188336.477984302,2021
2021-06-04,3203.296063780947,3203.0122140017816,1.0,-8.86117840853684e-05,-8.86117840853684e-05,11120316.021380778,11187345.05952804,2021
2021-06-07,3218.648337667039,3216.551656715514,0.0,-0.0006514165983863007,-0.0,11113072.06294515,11187345.05952804,2021
2021-06-08,3215.7475256172406,3185.4484280535758,1.0,-0.009422100871507078,-0.009422100871507078,11008363.576975755,11081936.765892811,2021
2021-06-09,3185.8940102628258,3187.1931284381017,0.0,0.0004077719381407885,0.0,11012852.478727298,11081936.765892811,2021
2021-06-10,3200.1423798506016,3156.7145346874518,1.0,-0.013570597807331719,-0.013570597807331719,10863401.487027014,10931548.259116597,2021
2021-06-11,3162.978830075729,3211.557806160795,0.0,0.015358615626239525,0.0,11030248.294859782,10931548.259116597,2021
2021-06-14,3203.1214092873493,3238.0859174632083,1.0,0.010915761130527502,0.010915761130527502,11150651.850456879,11050874.428699948,2021
2021-06-15,3231.7980928711922,3240.593622988002,1.0,0.0027215592880667216,0.0027215592880667216,11180999.010568488,11080950.038642636,2021
2021-06-16,3245.405236675768,3231.08618606877,1.0,-0.004412099433741101,-0.004412099433741101,11131667.3311653,11032059.785251828,2021
2021-06-17,3225.0364193104247,3236.55981267867,0.0,0.0035731048800711207,0.0,11171441.946029615,11032059.785251828,2021
2021-06-18,3216.002058825654,3236.7937399543334,0.0,0.006465070839000608,0.0,11243666.109584479,11032059.785251828,2021
2021-06-21,3236.2767515030982,3230.3274216632462,0.0,-0.0018383254266152171,-0.0,11222996.592286859,11032059.785251828,2021
2021-06-22,3215.982707015872,3219.7007580490226,0.0,0.001156116612517577,0.0,11235971.68508943,11032059.785251828,2021
2021-06-23,3235.3125888105324,3211.8815502404077,0.0,-0.007242279664463336,-0.0,11154597.635844022,11032059.785251828,2021
2021-06-25,3213.585013096534,3216.5578152023545,0.0,0.0009250734284933504,0.0,11164916.457722476,11032059.785251828,2021
2021-06-28,3207.82317149367,3194.5950760372452,1.0,-0.004123698455069547,-0.004123698455069547,11118875.708974784,10986566.897359151,2021
2021-06-29,3187.899533021723,3196.6965856690476,0.0,0.002759513766416033,0.0,11149558.39956077,10986566.897359151,2021
2021-06-30,3178.577093214664,3220.3008669528745,0.0,0.013126557108612769,0.0,11295913.714628419,10986566.897359151,2021
2021-07-01,3209.679072751332,3224.0600341631675,1.0,0.004480498232338315,0.004480498232338315,11346525.036059456,11035792.190922236,2021
2021-07-05,3233.8900952204804,3221.1573461073276,1.0,-0.003937285664707968,-0.003937285664707968,11301850.525690729,10992341.12453022,2021
2021-07-06,3242.724149119808,3229.1302642433075,1.0,-0.004192118802393452,-0.004192118802393452,11254471.825600142,10946259.924619755,2021
2021-07-07,3236.167151137142,3213.257327993068,0.0,-0.0070793077347762745,-0.0,11174797.956154348,10946259.924619755,2021
2021-07-08,3212.370058907935,3216.1383135391775,0.0,0.0011730449985962732,0.0,11187906.497007139,10946259.924619755,2021
2021-07-09,3211.9705902453784,3243.119746715256,0.0,0.009697833649061627,0.0,11296404.95309637,10946259.924619755,2021
2021-07-12,3233.813655333276,3218.694115761237,1.0,-0.0046754517061005085,-0.0046754517061005085,11243589.157285612,10895081.214979772,2021
2021-07-13,3238.5833849013884,3217.054239630663,0.0,-0.0066477044781668715,-0.0,11168845.099294055,10895081.214979772,2021
2021-07-14,3215.23259519599,3216.9713474570663,1.0,0.000540785840400515,0.000540785840400515,11174885.052577382,10900973.120630845,2021
2021-07-15,3237.389109092476,3195.230127867739,1.0,-0.013022525190540035,-0.013022525190540035,11029359.830478802,10759014.92356603,2021
2021-07-19,3208.5879744303716,3203.6238074949206,0.0,-0.0015471500158359408,-0.0,11012295.756242417,10759014.92356603,2021
2021-07-20,3186.893236820531,3197.744589140847,1.0,0.00340499399068106,0.00340499399068106,11049792.557116024,10795649.30472642,2021
2021-07-21,3191.355952130353,3190.699200969242,0.0,-0.0002057906328727377,-0.0,11047518.613312583,10795649.30472642,2021
